date	point1_A	point1_H	point1_V
2024-04-01 17-49-36	1.8	3.28	4.36
2024-04-01 18-50-04	3.29	7.42	3.73
2024-04-01 19-20-35	3.14	6.9	3.47
2024-04-01 19-51-05	3.43	6.87	3.48
2024-04-01 20-21-34	3.17	6.25	3.15
2024-04-01 20-52-05	3.16	6.74	3.45
2024-04-01 21-22-35	3.22	7.21	3.65
2024-04-01 21-53-05	3.39	7.12	3.67
2024-04-01 22-23-35	3.25	6.75	3.52
2024-04-01 22-54-04	3.12	7.02	3.62
2024-04-01 23-24-35	3.39	7.67	3.83
2024-04-01 23-55-05	3.44	7.4	3.76
2024-04-02 00-25-35	3.28	6.63	3.44
2024-04-02 00-56-05	3.46	7.08	3.58
2024-04-02 01-26-35	3.52	6.96	3.58
2024-04-02 01-57-05	3.08	6.85	3.49
2024-04-02 02-27-34	3.49	6.87	3.58
2024-04-02 02-58-05	3.28	6.45	3.31
2024-04-02 03-28-34	3.07	6.39	3.41
2024-04-02 03-59-05	3.08	6.35	3.4
2024-04-02 04-29-34	3.02	6.36	3.33
2024-04-02 05-00-04	3.17	6.24	3.25
2024-04-02 05-30-34	3.13	6.13	3.17
2024-04-02 06-01-04	3.03	6.29	3.32
2024-04-02 06-31-33	2.91	6.28	3.32
2024-04-02 07-02-04	3.11	6.19	3.21
2024-04-02 07-32-34	2.97	6.16	3.13
2024-04-02 08-03-03	2.92	5.84	3.01
2024-04-02 08-33-34	2.84	5.86	3.02
2024-04-02 09-04-04	3	6.2	3.22
2024-04-02 09-34-33	3.02	6.43	3.33
2024-04-02 10-05-04	2.86	6.05	3.14
2024-04-02 10-35-34	3.28	6.91	3.5
2024-04-02 11-06-03	3.33	7.44	3.84
2024-04-02 11-47-33	3.04	6.38	3.08
2024-04-02 12-18-04	3.27	7.13	3.53
2024-04-02 12-48-33	3.4	7.28	3.61
2024-04-02 13-19-04	3.45	7.35	3.64
2024-04-02 13-49-34	3.34	6.92	3.37
2024-04-02 14-20-04	3.49	7.7	3.85
2024-04-02 14-50-34	3.23	7.17	3.67
2024-04-02 15-21-03	3.23	7.08	3.54
2024-04-02 15-51-33	3.37	7.04	3.51
2024-04-02 16-22-03	3.44	7.3	3.58
2024-04-02 16-52-34	2.64	4.98	2.42
2024-04-02 17-00-45	3.05	5.94	2.86
2024-04-02 17-23-04	2.98	5.97	2.92
2024-04-02 17-53-34	2.86	5.84	2.89
2024-04-02 18-24-04	2.85	5.77	2.81
2024-04-02 18-54-34	3.04	5.81	2.93
2024-04-02 19-25-03	3.01	5.68	2.82
2024-04-02 19-55-33	2.87	5.57	2.77
2024-04-02 20-26-04	2.55	4.58	2.31
2024-04-02 20-56-34	2.79	5.32	2.61
2024-04-02 21-27-02	2.93	5.84	2.92
2024-04-02 21-57-33	2.68	5.21	2.47
2024-04-02 22-28-02	2.71	5.24	2.51
2024-04-02 22-58-32	2.86	5.62	2.71
2024-04-03 05-02-32	3.34	6.89	3.59
2024-04-03 05-33-03	2.94	6.33	3.4
2024-04-03 05-53-51	3.18	6.45	3.38
2024-04-03 06-03-32	2.88	6.22	3.39
2024-04-03 06-34-02	2.84	5.98	3.3
2024-04-03 07-04-33	2.94	6.04	3.31
2024-04-03 07-35-02	2.85	5.81	3.19
2024-04-03 08-05-32	3.05	6.21	3.31
2024-04-03 08-36-01	2.87	6.01	3.18
2024-04-03 09-06-31	2.79	5.6	2.96
2024-04-03 17-53-49	3.26	6.98	3.52
2024-04-04 05-53-49	2.91	5.82	2.97
2024-04-04 17-53-48	3.04	6.53	3.25
2024-04-05 05-53-46	2.91	6.33	3.35
2024-04-05 17-53-47	2.92	6.36	3.03
2024-04-06 05-53-45	3.27	7.02	3.51
2024-04-06 17-54-43	2.24	3.7	2.15
2024-04-07 05-54-43	3.9	9.65	5.16
2024-04-07 17-54-41	0.32	1.09	0.29
2024-04-08 06-08-05	0.37	0.93	0.28
2024-04-08 15-11-53	5.68	13.64	6.35
2024-04-08 17-54-39	0.49	0.51	0.33
2024-04-09 05-54-39	3.52	7.99	4.14
2024-04-10 06-34-42	0.39	1.01	0.33
2024-04-10 17-54-34	2.85	5.71	3
2024-04-11 05-54-32	2.96	5.6	2.95
2024-04-11 17-54-32	3.38	7.48	3.82
2024-04-12 05-54-31	3.41	7.32	3.72
2024-04-12 17-54-29	0.33	0.56	0.29
2024-04-13 05-54-28	0.42	0.96	0.35
2024-04-13 17-54-27	0.36	0.86	0.3
2024-04-14 05-54-25	2.73	4.87	2.7
2024-04-15 06-54-26	0.34	0.79	0.36
2024-04-15 17-54-20	0.41	1.05	0.29
2024-04-16 06-45-14	0.4	0.76	0.3
2024-04-16 15-05-31	6.03	14.52	6.83
2024-04-16 17-54-17	3.86	8.64	4.38
2024-04-17 07-35-52	3.98	9.23	4.67
2024-04-17 17-54-16	3.38	7.36	3.91
2024-04-18 04-59-28	7.28	17.47	7.81
2024-04-18 05-54-14	3.67	8.37	4.35
2024-04-18 17-54-14	3.35	7.48	3.97
2024-04-19 05-54-13	3.51	7.86	4.02
2024-04-19 17-54-13	3.57	7.85	4.01
2024-04-20 05-54-12	3.59	8.11	4.16
2024-04-20 17-54-11	3.77	7.55	3.85
2024-04-21 05-54-11	4.1	9.15	4.59
2024-04-22 05-58-36	0.3	1.1	0.31
2024-04-22 17-54-05	2.85	5.32	2.83
2024-04-23 05-54-05	3.08	6.47	3.43
2024-04-23 17-54-03	3.18	7.09	3.74
2024-04-24 05-54-03	3.6	8.45	4.5
2024-04-24 17-54-02	4.14	10.27	5.35
2024-04-25 05-54-01	3.59	7.91	4.14
2024-04-25 17-54-00	3.87	8.96	4.5
2024-04-26 05-53-59	0.43	0.59	0.31
2024-04-26 17-53-57	3.6	7.98	4.01
2024-04-27 05-53-57	3.66	8.19	4.19
2024-04-27 17-53-56	0.39	0.61	0.3
2024-04-28 05-53-55	3.62	8	4.08
2024-04-28 17-53-54	3.47	7.12	3.69
2024-04-29 05-53-53	0.35	0.62	0.34
2024-04-29 17-53-52	3.74	8.48	4.35
2024-04-30 05-54-04	3.44	7.91	3.96
2024-04-30 17-54-04	3.56	7.96	4.04
2024-05-01 05-54-02	3.89	8.82	4.49
2024-05-01 17-54-01	0.44	0.9	0.28
2024-05-02 05-53-58	0.34	0.85	0.32
2024-05-02 17-53-57	3.45	7.35	3.77
2024-05-03 05-53-56	0.39	0.45	0.4
